t	S	I	R
2.89	998.331	1.33388	0.334777
2.9	998.329	1.33521	0.336111
2.91	998.326	1.33654	0.337446
2.92	998.323	1.33788	0.338782
2.93	998.321	1.33921	0.34012
2.94	998.318	1.34054	0.341459
2.95	998.315	1.34188	0.3428
2.96	998.313	1.34322	0.344142
2.97	998.31	1.34456	0.345485
2.98	998.307	1.3459	0.34683
2.99	998.305	1.34724	0.348176
3	998.302	1.34858	0.349523
3.01	998.299	1.34992	0.350871
3.02	998.297	1.35127	0.352221
3.03	998.294	1.35262	0.353573
3.04	998.291	1.35396	0.354925
3.05	998.288	1.35531	0.356279
3.06	998.286	1.35666	0.357634
3.07	998.283	1.35802	0.358991
3.08	998.28	1.35937	0.360349
3.09	998.278	1.36072	0.361708
3.1	998.275	1.36208	0.363069
3.11	998.272	1.36344	0.364431
3.12	998.269	1.3648	0.365795
3.13	998.267	1.36616	0.36716
3.14	998.264	1.36752	0.368526
3.15	998.261	1.36888	0.369893
3.16	998.258	1.37025	0.371262
3.17	998.256	1.37161	0.372632
3.18	998.253	1.37298	0.374004
3.19	998.25	1.37435	0.375377
3.2	998.248	1.37572	0.376751
3.21	998.245	1.37709	0.378127
3.22	998.242	1.37846	0.379504
3.23	998.239	1.37983	0.380883
3.24	998.237	1.38121	0.382262
3.25	998.234	1.38258	0.383644
3.26	998.231	1.38396	0.385026
3.27	998.228	1.38534	0.38641
3.28	998.225	1.38672	0.387795
3.29	998.223	1.3881	0.389182
3.3	998.22	1.38949	0.39057
3.31	998.217	1.39087	0.39196
3.32	998.214	1.39226	0.393351
3.33	998.212	1.39364	0.394743
3.34	998.209	1.39503	0.396137
3.35	998.206	1.39642	0.397532
3.36	998.203	1.39781	0.398928
3.37	998.2	1.39921	0.400326
3.38	998.198	1.4006	0.401725
3.39	998.195	1.402	0.403126
3.4	998.192	1.40339	0.404528
3.41	998.189	1.40479	0.405931
3.42	998.186	1.40619	0.407336
3.43	998.184	1.40759	0.408742
3.44	998.181	1.40899	0.41015
3.45	998.178	1.4104	0.411559
3.46	998.175	1.4118	0.412969
3.47	998.172	1.41321	0.414381
3.48	998.17	1.41462	0.415794
3.49	998.167	1.41603	0.417209
3.5	998.164	1.41744	0.418625
3.51	998.161	1.41885	0.420042
3.52	998.158	1.42026	0.421461
3.53	998.155	1.42168	0.422881
3.54	998.153	1.4231	0.424303
3.55	998.15	1.42451	0.425726
3.56	998.147	1.42593	0.42715
3.57	998.144	1.42735	0.428576
3.58	998.141	1.42878	0.430004
3.59	998.138	1.4302	0.431433
3.6	998.136	1.43162	0.432863
3.61	998.133	1.43305	0.434294
3.62	998.13	1.43448	0.435727
3.63	998.127	1.43591	0.437162
3.64	998.124	1.43734	0.438598
3.65	998.121	1.43877	0.440035
3.66	998.118	1.4402	0.441474
3.67	998.115	1.44164	0.442914
3.68	998.113	1.44307	0.444356
3.69	998.11	1.44451	0.445799
3.7	998.107	1.44595	0.447243
3.71	998.104	1.44739	0.448689
3.72	998.101	1.44883	0.450137
3.73	998.098	1.45028	0.451585
3.74	998.095	1.45172	0.453036
3.75	998.092	1.45317	0.454487
3.76	998.089	1.45461	0.455941
3.77	998.087	1.45606	0.457395
3.78	998.084	1.45751	0.458851
3.79	998.081	1.45897	0.460309
3.8	998.078	1.46042	0.461768
3.81	998.075	1.46187	0.463228
3.82	998.072	1.46333	0.46469
3.83	998.069	1.46479	0.466153
3.84	998.066	1.46625	0.467618
3.85	998.063	1.46771	0.469084
3.86	998.06	1.46917	0.470552
3.87	998.057	1.47063	0.472021
3.88	998.054	1.4721	0.473492
3.89	998.051	1.47356	0.474964
3.9	998.049	1.47503	0.476438
3.91	998.046	1.4765	0.477913
3.92	998.043	1.47797	0.479389
3.93	998.04	1.47944	0.480867
3.94	998.037	1.48092	0.482347
3.95	998.034	1.48239	0.483827
3.96	998.031	1.48387	0.48531
3.97	998.028	1.48535	0.486794
3.98	998.025	1.48683	0.488279
3.99	998.022	1.48831	0.489766
4	998.019	1.48979	0.491254
4.01	998.016	1.49127	0.492744
4.02	998.013	1.49276	0.494235
4.03	998.01	1.49425	0.495728
4.04	998.007	1.49574	0.497222
4.05	998.004	1.49723	0.498718
4.06	998.001	1.49872	0.500215
4.07	997.998	1.50021	0.501714
4.08	997.995	1.5017	0.503214
4.09	997.992	1.5032	0.504716
4.1	997.989	1.5047	0.506219
4.11	997.986	1.50619	0.507724
